protB	protA	combined_score	GENENAME1	logFC1	P.Value1	adj.P.Val1	Direction1	GENENAME2	logFC2	P.Value2	adj.P.Val2	Direction2
ENSECAP00000018388	ENSECAP00000006254	605	MRPS27	-1.30450294784974	0.017271660541721	0.999562003769843	down	RPL3	-0.845427430237944	0.048728065075235	0.999562003769843	down
ENSECAP00000018388	ENSECAP00000017862	994	RPS9	-0.440665116070447	0.0290410884075408	0.999562003769843	down	RPL3	-0.845427430237944	0.048728065075235	0.999562003769843	down
ENSECAP00000021737	ENSECAP00000017862	999	RPS9	-0.440665116070447	0.0290410884075408	0.999562003769843	down	RPS26	-0.86540624429276	0.0223418006734002	0.999562003769843	down
ENSECAP00000021737	ENSECAP00000018388	991	RPL3	-0.845427430237944	0.048728065075235	0.999562003769843	down	RPS26	-0.86540624429276	0.0223418006734002	0.999562003769843	down
ENSECAP00000043581	ENSECAP00000017862	987	RPS9	-0.440665116070447	0.0290410884075408	0.999562003769843	down	EIF3I	-0.256564257286286	0.0266830506107963	0.999562003769843	down
ENSECAP00000043581	ENSECAP00000018388	621	RPL3	-0.845427430237944	0.048728065075235	0.999562003769843	down	EIF3I	-0.256564257286286	0.0266830506107963	0.999562003769843	down
ENSECAP00000043581	ENSECAP00000021737	981	RPS26	-0.86540624429276	0.0223418006734002	0.999562003769843	down	EIF3I	-0.256564257286286	0.0266830506107963	0.999562003769843	down
ENSECAP00000044379	ENSECAP00000017862	990	RPS9	-0.440665116070447	0.0290410884075408	0.999562003769843	down	RPL7	-0.609463504110538	0.00804211644543162	0.999562003769843	down
ENSECAP00000044379	ENSECAP00000018388	999	RPL3	-0.845427430237944	0.048728065075235	0.999562003769843	down	RPL7	-0.609463504110538	0.00804211644543162	0.999562003769843	down
ENSECAP00000044379	ENSECAP00000021737	989	RPS26	-0.86540624429276	0.0223418006734002	0.999562003769843	down	RPL7	-0.609463504110538	0.00804211644543162	0.999562003769843	down
ENSECAP00000044379	ENSECAP00000043581	799	EIF3I	-0.256564257286286	0.0266830506107963	0.999562003769843	down	RPL7	-0.609463504110538	0.00804211644543162	0.999562003769843	down
ENSECAP00000049007	ENSECAP00000017862	690	RPS9	-0.440665116070447	0.0290410884075408	0.999562003769843	down	KARS1	-0.40547908502784	0.029736063139495	0.999562003769843	down
ENSECAP00000049007	ENSECAP00000018388	648	RPL3	-0.845427430237944	0.048728065075235	0.999562003769843	down	KARS1	-0.40547908502784	0.029736063139495	0.999562003769843	down
